action_id,object,count
wipe,mirror,4231
fluff,pillow,3860
scrub,sink,3360
wipe,table,2679
turn_on,lamp,2638
push,chair,2280
smooth,bed,1983
scrub,toilet,1967
straighten,cabinet,1772
straighten,picture,1624
close,curtain,1622
wipe,shelf,1570
reposition,chair,1349
turn_on,tv,1104
dust,picture,1077
smooth,rug,1073
lift,handbag,1029
open,refrigerator,1029
wipe,cabinet,1009
dump,trashcan,997
pick_up,cup,972
straighten,painting,904
reposition,armchair,869
wipe,sink,845
turn_off,lamp,801
dump,bin,794
pick_up,cap,779
pour,plant,773
lift,backpack,743
scrub,bathtub,716
open,cabinet,693
fold,towel,686
pick_up,book,682
set_control,lamp,671
place_on,plate,660
pick_up,cellular_telephone,654
dust,painting,651
push,armchair,637
load,dishwasher,623
straighten,wardrobe,622
close,blinds,621
fold,blanket,619
wipe,kitchen cabinet,618
reposition,stool,589
pick_up,sunglasses,588
lift,towel,567
set,alarm_clock,560
wipe,microwave,544
turn_on,fireplace,531
inspect,mirror,518
wipe,rack,508
straighten,chair,507
dump,basket,503
wipe,coffee table,500
wipe,desk,499
hang,towel,498
straighten,kitchen cabinet,489
fluff,cushion,473
straighten,couch,452
open,wardrobe,444
dust,shelf,438
turn_off,tv,433
wipe,refrigerator,427
turn_on,table lamp,424
lift,bag,422
pick_up,bowl,419
carry,box,406
polish,mirror,405
open,kitchen cabinet,401
set_up,table,401
close,cabinet,400
straighten,book,398
pick_up,plate,395
place_on,cup,393
pick_up,flashlight,390
open,dishwasher,389
fill,kettle,371
reposition,desk chair,371
dust,tv,369
turn_on,ceiling lamp,367
pick_up,clothes,364
turn_on,oven,363
straighten,pillow,361
pick_up,camera,357
close,window curtain,355
pick_up,toothbrush,355
close,wardrobe,352
load,backpack,347
dust,cabinet,346
pick_up,wine_bottle,346
straighten,box,346
place_in,cabinet,342
push,dining chair,339
place_on,table,337
lift,blanket,335
place_on,shelf,334
smooth,curtain,334
place_on,towel,333
turn_on,fan,332
inspect,refrigerator,326
scrub,washbasin,324
turn_on,floor lamp,324
wipe,tv,318
pick_up,screwdriver,315
open,curtain,313
pick_up,toy,310
turn_on,kettle,310
inspect,toaster,309
pour,flowerpot,306
straighten,dresser,305
rinse,cup,304
place_on,pillow,302
fill,pitcher,299
pour,decorative plant,298
turn_on,heater,297
scrub,pan,295
wipe,monitor,295
start_machine,coffee machine,289
wipe,sink cabinet,284
pick_up,pan,283
turn_on,coffee machine,280
push,stool,277
push,couch,269
wipe,picture,266
set_control,radiator,265
pick_up,pliers,264
pick_up,laptop_computer,264
place_on,flower vase,257
straighten,basket,257
turn_on,microwave,256
start_machine,microwave,251
rinse,bowl,248
place_on,tray,247
place_on,bowl,245
pick_up,hairbrush,243
turn_on,washing machine,243
straighten,bathroom cabinet,240
pick_up,shampoo,235
inspect,cabinet,234
pick_up,pitcher,234
scrub,fireplace,230
pick_up,hammer,229
close,shower curtain,228
scrub,oven,228
wipe,bookshelf,228
smooth,mat,226
rinse,plate,222
smooth,carpet,221
align,picture,220
straighten,armchair,220
straighten,chest of drawers,219
open,laptop_computer,217
wipe,side table,216
reposition,office chair,215
wipe,bathroom cabinet,215
load,washing machine,213
dust,lamp,212
place_in,basket,212
vacuum,rug,211
straighten,sofa,209
pick_up,bottle,197
turn_on,wall lamp,197
wipe,radiator,196
stack,box,195
wipe,chair,195
wipe,board,195
dispose,trashcan,193
turn_on,ceiling fan,193
inspect,wall clock,191
lift,pillow,191
pick_up,jar,191
turn_on,radiator,190
wipe,nightstand,190
straighten,shelving,188
set_control,blinds,186
place_on,wine_bottle,185
set_control,speaker,185
carry,pouffe,184
lift,basket,182
hang,picture,181
smooth,blanket,180
inspect,cellular_telephone,178
cover,blanket,177
push,nightstand,177
scrub,shower cabin,176
wipe,toaster,176
reposition,ladder,173
smooth,doormat,173
wipe,countertop,173
carry,bag,171
close,closet door,171
carry,basket,170
dust,vase,170
fold,clothes,170
hang,painting,170
set_up,laptop_computer,170
turn_off,ceiling lamp,170
fill,sink,169
dust,decoration,165
inspect,clock,165
place_on,book,165
inspect,vacuum cleaner,164
pour,flower,163
push,sofa,162
open,blinds,160
push,desk chair,160
turn_on,flashlight,160
scrub,bath sink,159
wipe,dresser,159
place_on,rack,158
pick_up,tape_measure,156
turn_on,toaster,156
align,mirror,154
dust,mirror,154
pick_up,knife,154
pick_up,shoe,154
push,table,154
scrub,shower floor,153
align,painting,152
straighten,clothes,150
scrub,shower wall,149
smooth,shower curtain,149
turn_on,coffee_maker,149
push,desk,148
place_on,vase,146
place_on,shampoo,145
straighten,bag,145
open,wine_bottle,144
wipe,kitchen lower cabinet,144
carry,flowerpot,143
dust,dresser,142
dump,trash_can,141
pull,chair,139
store,handbag,139
wipe,stairs railing,138
inspect,shelf,136
push,sofa chair,136
turn_on,monitor,135
wipe,bench,135
inspect,printer,134
pick_up,broom,134
plug_in,mouse,134
wipe,coffee machine,134
turn_on,bedside lamp,133
hang,clothes,132
inspect,sink,132
set_control,floor lamp,132
open,drawer,131
wipe,kitchen counter,131
wipe,kitchen appliance,131
inspect,alarm_clock,129
place_in,wardrobe,129
store,backpack,129
turn_on,led tv,129
inspect,kettle,128
turn_off,table lamp,128
carry,cup,127
open,fridge,127
wipe,keyboard,127
reposition,cabinet,126
straighten,stack of papers,126
wipe,dishwasher,126
pick_up,wrench,124
vacuum,carpet,124
wipe,washing machine,123
wipe,stool,122
wipe,washbasin,122
turn_off,alarm_clock,121
turn_on,chandelier,121
place_on,flowerpot,120
scrub,stove,120
shake_out,doormat,119
wipe,tap,119
close,kitchen cabinet,118
close,drawer,117
carry,cardboard box,116
close,window shade,116
lift,jacket,116
pick_up,bottle_opener,115
place_on,pitcher,115
turn_on,speaker,115
dispose,bin,114
inspect,toothbrush,114
inspect,handbag,114
lift,box,114
open,box,114
set_control,monitor,114
set_up,chair,114
close,refrigerator,112
dust,radiator,111
shake_out,rug,111
straighten,drawer,111
wipe,tray,111
carry,wine_bottle,110
dust,flower vase,109
push,bar chair,109
wipe,dining table,109
wipe,window glass,109
dump,laundry basket,108
inspect,fridge,108
lift,hanging clothes,108
place_in,box,108
inspect,oven,107
inspect,flashlight,107
inspect,fire extinguisher,107
wipe,computer_keyboard,107
carry,plant,106
set_control,heater,106
straighten,basket of something,106
fluff,couch,105
pick_up,can,105
place_on,handbag,105
close,cabinet door,104
fold,throw blanket,104
rinse,toothbrush,104
carry,backpack,103
carry,handbag,103
set_control,clock,103
dust,ornament,102
dust,plant,101
straighten,refrigerator,101
set_control,air conditioner,100
store,box,100
straighten,shampoo,100
straighten,hanging clothes,100
wipe,clutter,100
carry,pillow,99
inspect,dustpan,99
hang,hanger,98
inspect,wardrobe,98
load,suitcase,98
turn_on,printer,98
turn_on,candle,98
wipe,painting,98
wipe,handrail,98
dust,chandelier,97
set_control,table lamp,97
smooth,towel,97
straighten,kitchen lower cabinet,97
straighten,backpack,97
wipe,wash cabinet,97
inspect,calendar,96
store,bag,96
turn_on,stove,96
dump,trash can,95
dust,table,95
flush,toilet,94
inspect,coffee_maker,94
place_in,washing machine,94
carry,suitcase,93
fill,shampoo,93
set_control,wall clock,93
wipe,wall panel,93
wipe,bed table,93
wipe,chest of drawers,93
close,window shutter,92
dust,statue,92
reposition,bench,92
stack,book,92
straighten,mirror,92
turn_on,microwave_oven,92
inspect,tape_measure,91
lift,plush toy,91
reposition,ottoman,91
rinse,pitcher,91
wipe,shower wall,91
align,chair,90
inspect,knife,90
pick_up,paper,90
place_on,chair,90
straighten,sofa chair,90
wipe,faucet,90
carry,table,88
dust,ceiling lamp,88
inspect,hairbrush,88
place_on,flower,88
reposition,dining chair,88
turn_off,fan,88
turn_on,desk lamp,88
wipe,microwave_oven,88
stack,cardboard box,87
start_machine,printer,87
straighten,storage box,87
turn_on,laundry machine,87
wipe,plate,87
push,pouffe,86
push,office chair,86
store,cap,86
straighten,plant,86
straighten,hanger,86
turn_off,ceiling fan,86
open,laptop,85
straighten,art frame,85
straighten,bed table,85
close,box,84
pick_up,cloth,84
place_on,toothbrush,84
wipe,towel,84
close,door window,83
dump,basket of something,83
dust,decorative plant,83
inspect,ventilation,83
vacuum,couch,83
dust,nightstand,82
pick_up,hat,82
place_on,decoration,82
turn_on,wall tv,82
dust,bookshelf,81
dust,table lamp,81
open,window curtain,81
place_on,shoe,81
store,cabinet,81
pick_up,dustpan,80
place_on,cabinet,80
wipe,dining chair,80
carry,pitcher,79
set_up,dining chair,79
smooth,floor mat,79
carry,blanket,78
dust,speaker,78
load,handbag,78
open,closet door,78
place_in,refrigerator,78
place_on,laptop_computer,78
plug_in,computer_keyboard,78
store,laptop_computer,78
straighten,handbag,78
wipe,printer,78
dump,recycle bin,77
wipe,oven,77
wipe,vent,77
wipe,counter,77
dust,chest of drawers,76
lift,suitcase,76
turn_off,floor lamp,76
dust,display cabinet,75
hang,bag,75
load,laundry machine,75
place_in,bowl,75
reposition,couch,75
store,camera,75
fold,bath towel,74
hang,handbag,74
start_machine,microwave_oven,74
store,book,74
straighten,dining chair,74
turn_on,air conditioner,74
inspect,radiator,73
wipe,kitchen island,73
fill,bathtub,72
place_in,flower vase,72
wipe,parapet,72
close,window glass,71
fill,cup,71
place_on,cellular_telephone,71
set_control,wall lamp,71
store,sunglasses,71
inspect,backpack,70
straighten,display cabinet,70
wipe,mirror frame,70
dust,monitor,69
fluff,sofa,69
open,cabinet door,69
place_on,jar,69
smooth,window curtain,69
smooth,sunbed,69
wipe,bathroom counter,69
cover,table cloth,68
inspect,basket,68
inspect,dresser,68
straighten,sink cabinet,68
turn_off,bedside lamp,68
wipe,book rack,68
hang,wardrobe,67
inspect,screwdriver,67
inspect,boiler,67
lift,bathrobe,67
pour,wine_bottle,67
set_control,fan,67
smooth,cushion,67
wipe,armchair,67
wipe,fridge,67
inspect,bag,66
inspect,bottle_opener,66
plug_in,cellular_telephone,66
turn_on,computer,66
turn_on,laptop_computer,66
inspect,armchair,65
place_in,handbag,65
place_on,box,65
push,bench,65
reposition,bar chair,65
set_up,ironing board,65
straighten,wash cabinet,65
hang,hanging clothes,64
place_on,bookshelf,64
straighten,wall cabinet,64
wipe,screen,64
close,sliding door,63
fold,cloth,63
inspect,couch,63
inspect,camera,63
open,chest of drawers,63
set_control,ceiling lamp,63
store,shampoo,63
straighten,closet,63
wipe,oven and stove,63
dust,stand,62
hang,bath towel,62
inspect,box,62
inspect,pliers,62
pick_up,vacuum cleaner,62
place_on,bouquet,62
store,toothbrush,62
wipe,air vent,62
close,closet,61
dust,piano,61
fold,bathroom towel,61
inspect,picture,61
inspect,pipe,61
inspect,telephone,61
pick_up,kettle,61
place_on,coffee table,61
set_control,chandelier,61
wipe,kitchen countertop item,61
wipe,kitchen countertop items,61
wipe,stand,61
pick_up,mouse,60
smooth,bed comforter,60
straighten,folder,60
wipe,display cabinet,60
carry,storage box,59
dust,wall clock,59
open,attic door,59
pick_up,umbrella,59
place_on,decorative plant,59
wipe,banister,59
dust,led tv,58
hang,jacket,58
set_control,guitar,58
straighten,chest,58
straighten,file cabinet,58
carry,flower vase,57
load,bag,57
pick_up,newspaper,57
place_on,mouse,57
reposition,rack,57
rinse,kettle,57
rinse,glass,57
scrub,pot,57
store,basket,57
straighten,decorative plant,57
wipe,ventilation,57
wipe,cutting board,57
wipe,railing,57
carry,stand,56
dust,sculpture,56
inspect,kitchen appliance,56
inspect,bed,56
inspect,ladder,56
open,suitcase,56
straighten,cardboard box,56
turn_on,dishwasher,56
wipe,tv stand,56
wipe,appliance,56
hang,bathrobe,55
inspect,table,55
open,microwave,55
reposition,footrest,55
straighten,shoe,55
straighten,towel bar,55
turn_off,heater,55
turn_on,oven and stove,55
carry,vase,54
dust,tv stand,54
place_in,backpack,54
reposition,stand,54
carry,case,53
dump,sink,53
dust,printer,53
inspect,furnace,53
inspect,hammer,53
lift,tray,53
pick_up,magazine,53
reposition,sofa chair,53
store,toy,53
straighten,bath cabinet,53
vacuum,doormat,53
wipe,stovetop,53
wipe,pipe,53
wipe,staircase handrail,53
carry,rug,52
carry,cart,52
carry,crate,52
dump,box,52
dust,clock,52
dust,art frame,52
fill,bottle,52
hang,rack,52
inspect,monitor,52
pick_up,stack of papers,52
place_in,dishwasher,52
smooth,crib,52
store,wine_bottle,52
wipe,exercise machine,52
inspect,kitchen cabinet,51
inspect,bookshelf,51
inspect,chair,51
open,closet,51
pick_up,glass,51
place_in,bag,51
place_in,vase,51
wipe,range hood,51
wipe,stove,51
close,laptop_computer,50
hang,bathroom towel,50
lift,stuffed animal,50
open,kitchen lower cabinet,50
turn_on,music player,50
vacuum,mat,50
wipe,machine,50
carry,basket of something,49
dust,rack,49
lift,bath towel,49
place_in,toaster,49
place_on,pan,49
place_on,shelving,49
carry,laptop_computer,48
